,0,1
0,"Lions Point, Pune","Shooting Point Khandala,  Pune"
1,"Lions Point, Pune","Tiger's Leap, Pune"
2,"Lions Point, Pune","Bushi Dam, Pune"
3,"Lions Point, Pune","Lonavala Lake, Pune"
4,"Lions Point, Pune","Ryewood Park, Pune"
5,"Lions Point, Pune","Wax Museum, Pune"
6,"Lions Point, Pune","Rajmachi Point, Pune"
7,"Lions Point, Pune","Duke's Nose Point, Pune"
8,"Lions Point, Pune","Lohagarh Fort , Pune"
9,"Lions Point, Pune","Bhaja Caves, Pune"
10,"Lions Point, Pune","Karla Caves, Pune"
11,"Lions Point, Pune","Sunset Point, Pune"
12,"Lions Point, Pune","Bopodi, Pune"
13,"Shooting Point Khandala,  Pune","Tiger's Leap, Pune"
14,"Shooting Point Khandala,  Pune","Bushi Dam, Pune"
15,"Shooting Point Khandala,  Pune","Lonavala Lake, Pune"
16,"Shooting Point Khandala,  Pune","Ryewood Park, Pune"
17,"Shooting Point Khandala,  Pune","Wax Museum, Pune"
18,"Shooting Point Khandala,  Pune","Rajmachi Point, Pune"
19,"Shooting Point Khandala,  Pune","Duke's Nose Point, Pune"
20,"Shooting Point Khandala,  Pune","Lohagarh Fort , Pune"
21,"Shooting Point Khandala,  Pune","Bhaja Caves, Pune"
22,"Shooting Point Khandala,  Pune","Karla Caves, Pune"
23,"Shooting Point Khandala,  Pune","Sunset Point, Pune"
24,"Shooting Point Khandala,  Pune","Bopodi, Pune"
25,"Tiger's Leap, Pune","Bushi Dam, Pune"
26,"Tiger's Leap, Pune","Lonavala Lake, Pune"
27,"Tiger's Leap, Pune","Ryewood Park, Pune"
28,"Tiger's Leap, Pune","Wax Museum, Pune"
29,"Tiger's Leap, Pune","Rajmachi Point, Pune"
30,"Tiger's Leap, Pune","Duke's Nose Point, Pune"
31,"Tiger's Leap, Pune","Lohagarh Fort , Pune"
32,"Tiger's Leap, Pune","Bhaja Caves, Pune"
33,"Tiger's Leap, Pune","Karla Caves, Pune"
34,"Tiger's Leap, Pune","Sunset Point, Pune"
35,"Tiger's Leap, Pune","Bopodi, Pune"
36,"Bushi Dam, Pune","Lonavala Lake, Pune"
37,"Bushi Dam, Pune","Ryewood Park, Pune"
38,"Bushi Dam, Pune","Wax Museum, Pune"
39,"Bushi Dam, Pune","Rajmachi Point, Pune"
40,"Bushi Dam, Pune","Duke's Nose Point, Pune"
41,"Bushi Dam, Pune","Lohagarh Fort , Pune"
42,"Bushi Dam, Pune","Bhaja Caves, Pune"
43,"Bushi Dam, Pune","Karla Caves, Pune"
44,"Bushi Dam, Pune","Sunset Point, Pune"
45,"Bushi Dam, Pune","Bopodi, Pune"
46,"Lonavala Lake, Pune","Ryewood Park, Pune"
47,"Lonavala Lake, Pune","Wax Museum, Pune"
48,"Lonavala Lake, Pune","Rajmachi Point, Pune"
49,"Lonavala Lake, Pune","Duke's Nose Point, Pune"
50,"Lonavala Lake, Pune","Lohagarh Fort , Pune"
51,"Lonavala Lake, Pune","Bhaja Caves, Pune"
52,"Lonavala Lake, Pune","Karla Caves, Pune"
53,"Lonavala Lake, Pune","Sunset Point, Pune"
54,"Lonavala Lake, Pune","Bopodi, Pune"
55,"Ryewood Park, Pune","Wax Museum, Pune"
56,"Ryewood Park, Pune","Rajmachi Point, Pune"
57,"Ryewood Park, Pune","Duke's Nose Point, Pune"
58,"Ryewood Park, Pune","Lohagarh Fort , Pune"
59,"Ryewood Park, Pune","Bhaja Caves, Pune"
60,"Ryewood Park, Pune","Karla Caves, Pune"
61,"Ryewood Park, Pune","Sunset Point, Pune"
62,"Ryewood Park, Pune","Bopodi, Pune"
63,"Wax Museum, Pune","Rajmachi Point, Pune"
64,"Wax Museum, Pune","Duke's Nose Point, Pune"
65,"Wax Museum, Pune","Lohagarh Fort , Pune"
66,"Wax Museum, Pune","Bhaja Caves, Pune"
67,"Wax Museum, Pune","Karla Caves, Pune"
68,"Wax Museum, Pune","Sunset Point, Pune"
69,"Wax Museum, Pune","Bopodi, Pune"
70,"Rajmachi Point, Pune","Duke's Nose Point, Pune"
71,"Rajmachi Point, Pune","Lohagarh Fort , Pune"
72,"Rajmachi Point, Pune","Bhaja Caves, Pune"
73,"Rajmachi Point, Pune","Karla Caves, Pune"
74,"Rajmachi Point, Pune","Sunset Point, Pune"
75,"Rajmachi Point, Pune","Bopodi, Pune"
76,"Duke's Nose Point, Pune","Lohagarh Fort , Pune"
77,"Duke's Nose Point, Pune","Bhaja Caves, Pune"
78,"Duke's Nose Point, Pune","Karla Caves, Pune"
79,"Duke's Nose Point, Pune","Sunset Point, Pune"
80,"Duke's Nose Point, Pune","Bopodi, Pune"
81,"Lohagarh Fort , Pune","Bhaja Caves, Pune"
82,"Lohagarh Fort , Pune","Karla Caves, Pune"
83,"Lohagarh Fort , Pune","Sunset Point, Pune"
84,"Lohagarh Fort , Pune","Bopodi, Pune"
85,"Bhaja Caves, Pune","Karla Caves, Pune"
86,"Bhaja Caves, Pune","Sunset Point, Pune"
87,"Bhaja Caves, Pune","Bopodi, Pune"
88,"Karla Caves, Pune","Sunset Point, Pune"
89,"Karla Caves, Pune","Bopodi, Pune"
90,"Sunset Point, Pune","Bopodi, Pune"
